Block: 1001
Row TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature VersionSignature LedgerSignature LedgerSeal Block
7433 2019-04-21T22:17:03.99Z 0c740cbd5363b6f0ed7059b76baee3e8e1ab204dece7701caf65e7ce9a138f0f 0c740cbd5363b6f0ed7059b76baee3e8e1ab204dece7701caf65e7ce9a138f0f c8627294541990d9842a92cf1a8b3c1afe97cff4367952fb612a5c34fb903b3b CRE 1 0373dfd8c014d24094015cf058f68e54068ad2350868a33aa6be26b85811a4ac77 02d48b65a05a3d7ec3fe0a93b5b2971e828ee3941629759987e05dac033b78d906 uZFVmV/qGhjq9JOZha1qbtKIhSOKgAddBg8tSkWxdIJ3fa/Z/WfdpQOe2lJfAzNeLauDc8wxwh4Vp1w3nDGLHw== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 jjctjhOovXq8z0MOHqSVxYV4EYNZMKYqEZprgIvUhNVeETDcl8Y4cLt4eJEy+/calziQSZ6K1Pno/yEpQ2ka0A== p8vcHFA52uu5OuEWI02dkiNZNK7E8/odD8e9HHrstIhjymuJrfk/TzenFxGiUJK9YTuw1xhYAX1hEi+hWkHLNA== 1001
7434 2019-04-21T22:17:05.124Z 0c740cbd5363b6f0ed7059b76baee3e8e1ab204dece7701caf65e7ce9a138f0f eb26bf73548548173e38775daaa50b50272b74fe92b02f906ac4aefc6c2cdfe8 717d16585835f8ec6991071081996893b6f8440f7af48bd48a002d00fec7d2bd AME 2 0373dfd8c014d24094015cf058f68e54068ad2350868a33aa6be26b85811a4ac77 025808d42e3405734060791b08fe663333ffd6a66fe87ce95aff941c02d25ac94c pKbVX78ijUeCpLsNRZBI9jlUVrBXwaWTbPB18WHU2+jZOizC1AA8NLjBrnPG+BJADEp5yw9bSB3dnpJa+QjNFg== gioQEFlSJHqdObP/lVPjONBsFTHs9547pqbSMT6DB1wq9KOkkNwdOv+237R4qFfRoifEyoTpAf4RWyUQ0gVeEA== mqtnrKFihvnUvUnPEBxiCavQDQGNi/Ds4puCgNbzfpWA3hrf9KYcz0ai0QIfJrQjrOW5zCgCrAEUy3ccIuo8vA== zOipq+rMsYGHGA7hcN4XzvLT2m7dvQ6H6TSplrlKi696YENcYFYsXjuvQy42CGZ2Z9kFG8Bo5+5BITkG3W0U+w== 1001
7435 2019-04-21T22:17:06.127Z 0c740cbd5363b6f0ed7059b76baee3e8e1ab204dece7701caf65e7ce9a138f0f 681cfb1d74f053906cc29994f80c86d17c3c2ca1cf4983e150f963a548107883 dde8bef78cbb720683fa1fe76bfb900592099ed4346ed995bcbc514e9aa67256 TRA 3 0373dfd8c014d24094015cf058f68e54068ad2350868a33aa6be26b85811a4ac77 02a87b9a9bcf710c7a17ba6e2be6de1a0777d5a83d416431ff92c4a1927c4da36d OItabuqD8J9aYQp7jaQ7oFm6gi/d3nH3/DTIASxezuToupv6QO1zG2PLjH/vsoeKtijCKTg1MiME0vIWWUlBBg== rysuZXoJGZajo0ZsfNOhtl0n1i6n+Ramba3FngWdYHZCK879Haqv/drxUdPzgDxliuJW0r/chY+/bk76rIphiw== NqU16u+MnwtS0QYkKW0hmR/ja0vKvVPOBzQ7jOAe5AqKAdkhJkUu8chVouHxMzJYUqG7AAa9pcNljjS1p7q4Bg== ajjZ/dmG8tZO6S9EOK1Qk7E7zbYGRzriGKtAwiC9PMtEBP57pfOa/VaYbgWlvp7LToPsy4v5jVMGq1+8xc1nzw== 1001
7436 2019-04-21T22:17:07.143Z 0c740cbd5363b6f0ed7059b76baee3e8e1ab204dece7701caf65e7ce9a138f0f 2e8e53968ec0f90352eb6c5e19cb559851585dd6250ac7a8ff564ff42bfe3816 83b9a67e4bac99af33e9cc44bdd8f78612a14c0bd6872532803d513fd014cd1b INV 4 000000000000000000000000000000000000000000000000000000000000000000 039a202a3d5e526e2aa2a0b61547a2b26fcb3be42045e3c6c85318470eb104c0a1 WBS62eDnFDhPlsLzg+q/GN9c2qW1mZw03ihybnW0XaWiDE9UrJ+NHBRgz1U7qz8NE+Bi5x3VL3NbG+DxjBQPfg== pEw/SpRsMa4jaZ0iNJJ55D/2i4q7Anu/wirLlXBxA5lJ+XD0yIIDWiIFhTVpvRdzv/ylT0gu+vXU3y6BUns8rw== Cie5vpFWNd3ruza6JzOKPBkMmcrmfvFlejcirZQ9rJztV5xwCkiBB1V8RAKeiswGXGhEhBwyD1jKwKaOfAKccA== ykPPLFQQ3GvKsdcWtH+GQlnvadvRYNVDiHWV+09vJpF6aO4qCuN6l3huy+vBmUVhoxBjbosb8jQuVN/FjK+BAA== 1001
7437 2019-04-21T22:17:09.833Z cb831dc0ba9b90416e5cf0458bad1d67cf180a744a09b6bd1a4621972bb8f1d6 cb831dc0ba9b90416e5cf0458bad1d67cf180a744a09b6bd1a4621972bb8f1d6 410b1ed8f661b50d2f1db4ed0d0b92f6edcdd96f70a67a302c8fc24550054ac4 CRE 1 03bee3714a527a99639fda6794be1e11296c970a87777d08b31efa9542f5b34d07 02762773142a31a1558e40be868fa8fea16cd0eea5a4dbf7b2bd0118f9b9d78b2d RsZazNxpPwNRXhnC6ZWzt1BhA+Fg5+9bO7DLV4vIyqLo86ed1s1RNOdvhW6yekiGnJrD82v01Ok4MJ8mkkAJ+Q== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 520INJT/ylfRpzqxdiNs6J6kQzJ2NFd6z1YSDqNH/YRdQ4f8COpb9D1f5StzBk4uMvGdH7d4+9nDo+1QxAyb6Q== jjECeeZERDj8pZzDjbhB6rd2wzURUdeQ01Yowu8N32Cle9fymzmkOQE/zXLJ7vp11iLjisH68KQviFk/Wfqdrw== 1001
7438 2019-04-21T22:17:10.84Z cb831dc0ba9b90416e5cf0458bad1d67cf180a744a09b6bd1a4621972bb8f1d6 c44fbde94eda5a688a9f64d97a3ab032396c360ae8b2134d40052c2839e176c4 b18e06505c1d3cdae000fd2da9aedd716942bd17191c1e5d380e8f7443ffb2eb AME 2 03bee3714a527a99639fda6794be1e11296c970a87777d08b31efa9542f5b34d07 03154cd4b7edb43fa20af3096b4091885b7f58784dcecd36bfef69f5636fa7cb5f 6Svw4IQ5g3rdeqfKeVpcb19MB0c19EROzSMtlkKb2QpaUh61ebVwceq6dsgwsBnf/v8cFzZJj3gjUahGf1icvw== 64y0NlLxxkFZGiFMIQZRyzKMz5/S18dT63AIAISdL9SF16ZqnJFMeVSaGWQU6EYfz0rif3Fkda0OKdb9xrDGDA== IDqln5hDmRsx7MP9mguy0ImDGgc6l6MiolZSp/CKsAVQJG0WgfKBcnc0cMwNpPbZzMUciCesVd367Epmq2z+VA== Fr00PSQ+XFgoSaYqytB7Njl/ploV4Zp0wOM0e8MVorKVJtBU+paCmA6tLkNEF9qici+sVu10Jq8bnGjDuwwHIQ== 1001
7439 2019-04-21T22:17:20.054Z 9bb229a7ee7659bb33da9e5a3b0da3060e28e15e145a6d1a3a6176895e547596 9bb229a7ee7659bb33da9e5a3b0da3060e28e15e145a6d1a3a6176895e547596 9bb229a7ee7659bb33da9e5a3b0da3060e28e15e145a6d1a3a6176895e547596 HBT 1000 037dd82c95c81d5462cc31ca121f45cd5a224914d29855f23579ea825dc9914e69 036c9aa7617fd645b92b7233f5690718a02515b381105ae394add901b9655777d8 FANMGKJ9A6Ps6JTSBgOdA1S9Zya4abK/yCuvPGw8Odqdd/3t1X2c0tiZAq1/9xKRixwUK4Rqq9DrVAs0eB1lsQ== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 XpJ0EwdMWzdj9J+sky3QlpR29xaGKJPs+U+PJz5VPLVsQhW2+I4zickLGCSfPQTzgRNB7SYMlH89B9jsgE+/3g== OPGgIWFBEUZs9qd5MY11aZY19dBZi82yNwSQ6xZCG0/73l3QoFkQHHLJfV4e9Pwc7BkP5pwJNBcWwev3Xnr0pw== 1001
7440 2019-04-21T22:32:04.286Z 230d0442fc99ac1fb1158c4ae2b660148dc69de9a140192938a527240fe60fc0 230d0442fc99ac1fb1158c4ae2b660148dc69de9a140192938a527240fe60fc0 230d0442fc99ac1fb1158c4ae2b660148dc69de9a140192938a527240fe60fc0 BLK 1 02b9bc72e1a6fb87de88772d68e550afe3e0709d40f5e80a08a84987ddaa985786 02b9bc72e1a6fb87de88772d68e550afe3e0709d40f5e80a08a84987ddaa985786 2YIlQTA370vxkanlH0RtqTWF16q3+HjZX1KfqxNAvmgbjn6mSFhxgztW/FaXa55qgmCVik7TtviUpqFeUfMKMw== kkJUivFUrM3Oy8cBHEyJXit2YeHUB6w+6rmJNAde2BgJ8Fuw29RxEsUWXbvXbW3/zVczObI7+eLbvEeQ/zCR3A== MkD7ij2nFN5W3v4LpQ3BQtVSXPXNFadgdJ6VAxBgwMvaFqni//t6YvF4xx+2cmLxfSqrvc9upfHHBe2dA1oR1g== t/Y6+aeJKF/7zpce5ds6iU5rjO90W61+URoFs9X01iLtYlcKaaV4l/rrBwrkVkevDeIjHQQfNMiQzDqaukIO5g== 1001
